Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,989,2458,2411,2711,2982,5939,106,6385,0.000%,16.13956,331.00,6.01
TOTAL,989,2458,2411,2711,2982,5939,106,6385,0.000%,16.13956,331.00,6.01
