Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1007,4889,4880,5397,6095,7824,2102,8328,0.000%,16.11458,330.49,6.00
TOTAL,1007,4889,4880,5397,6095,7824,2102,8328,0.000%,16.11458,330.49,6.00
