Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,986,1220,1224,1434,1466,2415,392,3324,0.000%,16.31181,334.53,6.07
TOTAL,986,1220,1224,1434,1466,2415,392,3324,0.000%,16.31181,334.53,6.07
