Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1000,4300,4270,4811,5224,7057,2300,7819,0.000%,16.06761,329.53,5.98
TOTAL,1000,4300,4270,4811,5224,7057,2300,7819,0.000%,16.06761,329.53,5.98
