Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1009,5496,5424,6076,7237,8752,2683,9368,0.000%,16.10535,330.30,5.99
TOTAL,1009,5496,5424,6076,7237,8752,2683,9368,0.000%,16.10535,330.30,5.99
