Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
12:24:52.0,2.033,1092.16
12:24:53.0,95.477,1093.257
12:24:54.0,99.0,1106.527
12:24:55.0,100.0,1126.75
12:24:56.0,98.5,1181.898
12:24:57.0,99.5,1260.105
12:24:58.0,99.004,1306.425
12:24:59.0,100.0,1360.777
12:25:00.0,99.004,1390.402
12:25:01.0,99.5,1415.445
12:25:02.0,99.5,1428.617
12:25:03.0,99.497,1402.703
12:25:04.0,99.502,1406.128
12:25:05.0,99.0,1414.082
12:25:06.0,98.492,1414.355
12:25:07.0,99.0,1393.488
12:25:08.0,99.5,1397.414
12:25:09.0,99.004,1401.273
12:25:10.0,98.492,1381.015
12:25:11.0,99.004,1381.191
12:25:12.0,100.0,1384.062
12:25:13.0,99.0,1377.683
12:25:14.0,98.5,1377.519
12:25:15.0,98.507,1372.234
12:25:16.0,99.497,1382.75
12:25:17.0,99.5,1385.156
12:25:18.0,99.004,1380.812
12:25:19.0,98.994,1381.566
12:25:20.0,100.0,1380.343
12:25:21.0,99.004,1383.476
12:25:22.0,99.0,1381.843
12:25:23.0,98.5,1385.585
12:25:24.0,99.0,1381.531
12:25:25.0,98.5,1386.488
12:25:26.0,99.0,1380.238
12:25:27.0,99.0,1379.789
12:25:28.0,99.5,1386.425
12:25:29.0,99.5,1377.054
12:25:30.0,98.507,1382.933
12:25:31.0,100.0,1388.894
12:25:32.0,99.0,1378.558
12:25:33.0,99.0,1378.91
12:25:34.0,99.497,1385.289
12:25:35.0,98.507,1381.66
12:25:36.0,99.0,1382.355
12:25:37.0,99.5,1384.304
12:25:38.0,98.009,1382.824
12:25:39.0,99.497,1382.531
12:25:40.0,99.0,1386.75
12:25:41.0,99.0,1379.894
12:25:42.0,98.5,1380.808
12:25:43.0,99.004,1384.113
12:25:44.0,99.5,1386.199
12:25:45.0,98.994,1382.617
12:25:46.0,98.5,1383.894
12:25:47.0,99.0,1388.726
12:25:48.0,97.512,1385.929
12:25:49.0,99.497,1382.984
12:25:50.0,99.004,1384.527
12:25:51.0,99.0,1389.828
12:25:52.0,99.004,1369.011
