Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,987,4343,4252,4823,5904,9253,446,9658,0.000%,15.90909,326.28,5.92
TOTAL,987,4343,4252,4823,5904,9253,446,9658,0.000%,15.90909,326.28,5.92
