Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,985,3096,3033,3442,3773,6313,158,8012,0.000%,15.98870,327.91,5.95
TOTAL,985,3096,3033,3442,3773,6313,158,8012,0.000%,15.98870,327.91,5.95
