Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,994,604,597,759,799,850,279,925,0.000%,16.46104,337.58,6.12
TOTAL,994,604,597,759,799,850,279,925,0.000%,16.46104,337.58,6.12
