Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,989,1219,1227,1431,1465,2536,515,3417,0.000%,16.31259,334.54,6.07
TOTAL,989,1219,1227,1431,1465,2536,515,3417,0.000%,16.31259,334.54,6.07
