Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
12:08:04.0,3.701,1278.058
12:08:05.0,99.5,1319.203
12:08:06.0,98.5,1332.437
12:08:07.0,99.0,1329.289
12:08:08.0,100.0,1391.363
12:08:09.0,99.004,1460.796
12:08:10.0,98.0,1498.007
12:08:11.0,98.492,1523.433
12:08:12.0,99.502,1614.847
12:08:13.0,99.497,1666.207
12:08:14.0,98.514,1689.273
12:08:15.0,98.492,1684.089
12:08:16.0,98.5,1687.492
12:08:17.0,96.517,1644.496
12:08:18.0,97.487,1660.941
12:08:19.0,99.004,1669.722
12:08:20.0,98.994,1685.773
12:08:21.0,98.507,1688.746
12:08:22.0,98.492,1684.218
12:08:23.0,97.512,1657.578
12:08:24.0,98.492,1664.476
12:08:25.0,99.0,1675.808
12:08:26.0,98.5,1687.687
12:08:27.0,98.507,1687.253
12:08:28.0,98.994,1685.015
12:08:29.0,98.009,1670.738
12:08:30.0,98.492,1664.468
12:08:31.0,99.502,1673.476
12:08:32.0,100.0,1687.371
12:08:33.0,99.502,1686.445
12:08:34.0,99.497,1679.917
12:08:35.0,99.0,1677.527
12:08:36.0,99.502,1656.746
12:08:37.0,99.0,1677.933
12:08:38.0,99.497,1687.953
12:08:39.0,98.5,1693.308
12:08:40.0,98.507,1675.894
12:08:41.0,99.004,1676.214
12:08:42.0,98.994,1663.796
12:08:43.0,99.0,1676.226
12:08:44.0,99.5,1684.476
12:08:45.0,99.0,1687.8
12:08:46.0,99.0,1678.683
12:08:47.0,98.5,1672.511
12:08:48.0,98.507,1673.871
12:08:49.0,100.0,1672.378
12:08:50.0,99.0,1685.902
12:08:51.0,100.0,1691.664
12:08:52.0,98.994,1683.75
12:08:53.0,98.514,1667.812
12:08:54.0,100.0,1670.16
12:08:55.0,99.0,1673.734
12:08:56.0,99.0,1688.171
12:08:57.0,98.5,1690.226
12:08:58.0,99.0,1689.656
12:08:59.0,99.004,1675.308
12:09:00.0,98.492,1668.585
12:09:01.0,100.0,1677.953
12:09:02.0,98.009,1702.796
12:09:03.0,98.507,1707.195
12:09:04.0,99.0,1708.964
12:09:05.0,98.994,1689.433
