Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,987,2464,2428,2744,2833,5003,145,6979,0.000%,16.10140,330.22,5.99
TOTAL,987,2464,2428,2744,2833,5003,145,6979,0.000%,16.10140,330.22,5.99
