Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,991,1839,1825,2093,2143,3657,111,4808,0.000%,16.18964,332.02,6.02
TOTAL,991,1839,1825,2093,2143,3657,111,4808,0.000%,16.18964,332.02,6.02
