Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1005,5547,5495,6531,8854,11422,129,12395,0.000%,15.97977,327.73,5.95
TOTAL,1005,5547,5495,6531,8854,11422,129,12395,0.000%,15.97977,327.73,5.95
