Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1008,6144,6140,6779,7731,10224,2649,10954,0.000%,16.01042,328.36,5.96
TOTAL,1008,6144,6140,6779,7731,10224,2649,10954,0.000%,16.01042,328.36,5.96
