Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1022,6041,5900,7495,9720,12132,574,13719,0.000%,16.27259,333.61,6.05
TOTAL,1022,6041,5900,7495,9720,12132,574,13719,0.000%,16.27259,333.61,6.05
