Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1003,1201,1197,1408,1441,1643,561,3465,0.000%,16.53124,338.90,6.15
TOTAL,1003,1201,1197,1408,1441,1643,561,3465,0.000%,16.53124,338.90,6.15
