Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1007,4257,4152,4788,5886,8771,552,9520,0.000%,16.23434,332.82,6.04
TOTAL,1007,4257,4152,4788,5886,8771,552,9520,0.000%,16.23434,332.82,6.04
