Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1012,4865,4840,5440,7049,9578,774,11070,0.000%,16.21509,332.43,6.03
TOTAL,1012,4865,4840,5440,7049,9578,774,11070,0.000%,16.21509,332.43,6.03
