Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,998,3036,2963,3388,3702,6341,119,7603,0.000%,16.31892,334.55,6.07
TOTAL,998,3036,2963,3388,3702,6341,119,7603,0.000%,16.31892,334.55,6.07
