Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1004,599,592,749,787,841,186,919,0.000%,16.61097,340.53,6.18
TOTAL,1004,599,592,749,787,841,186,919,0.000%,16.61097,340.53,6.18
