Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1007,1802,1796,2064,2115,3674,141,5530,0.000%,16.51361,338.54,6.14
TOTAL,1007,1802,1796,2064,2115,3674,141,5530,0.000%,16.51361,338.54,6.14
