Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1000,2432,2396,2700,2855,5189,149,7194,0.000%,16.31375,334.45,6.07
TOTAL,1000,2432,2396,2700,2855,5189,149,7194,0.000%,16.31375,334.45,6.07
