Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1007,3635,3504,4016,4836,8173,594,8556,0.000%,16.31377,334.45,6.07
TOTAL,1007,3635,3504,4016,4836,8173,594,8556,0.000%,16.31377,334.45,6.07
