Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1021,5443,5296,6380,8397,11001,200,11878,0.000%,16.26806,333.51,6.05
TOTAL,1021,5443,5296,6380,8397,11001,200,11878,0.000%,16.26806,333.51,6.05
