Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,990,3070,3003,3416,3777,6323,595,8332,0.000%,16.12430,330.69,6.00
TOTAL,990,3070,3003,3416,3777,6323,595,8332,0.000%,16.12430,330.69,6.00
