Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1015,5501,5336,6464,8560,11563,587,12765,0.000%,16.10421,330.28,5.99
TOTAL,1015,5501,5336,6464,8560,11563,587,12765,0.000%,16.10421,330.28,5.99
