Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,997,4295,4175,4819,5890,9047,296,9360,0.000%,16.08194,329.82,5.98
TOTAL,997,4295,4175,4819,5890,9047,296,9360,0.000%,16.08194,329.82,5.98
