Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1003,600,587,757,794,839,183,896,0.000%,16.58482,340.12,6.17
TOTAL,1003,600,587,757,794,839,183,896,0.000%,16.58482,340.12,6.17
