Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,992,2451,2388,2731,2992,5339,479,7128,0.000%,16.20015,332.25,6.03
TOTAL,992,2451,2388,2731,2992,5339,479,7128,0.000%,16.20015,332.25,6.03
