Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
19:03:17.0,2.436,1080.882
19:03:18.0,99.0,1089.449
19:03:19.0,99.0,1116.261
19:03:20.0,100.0,1151.937
19:03:21.0,98.507,1215.128
19:03:22.0,99.0,1253.488
19:03:23.0,100.0,1290.679
19:03:24.0,99.0,1313.222
19:03:25.0,99.5,1386.644
19:03:26.0,99.5,1393.91
19:03:27.0,99.0,1354.476
19:03:28.0,99.0,1374.136
19:03:29.0,99.004,1344.226
19:03:30.0,100.0,1368.679
19:03:31.0,99.004,1367.851
19:03:32.0,99.497,1352.316
19:03:33.0,99.004,1362.113
19:03:34.0,99.0,1343.292
19:03:35.0,99.0,1346.91
19:03:36.0,99.5,1347.457
19:03:37.0,98.5,1336.117
19:03:38.0,99.0,1340.234
19:03:39.0,99.5,1317.714
19:03:40.0,99.0,1328.863
19:03:41.0,100.0,1332.308
19:03:42.0,98.514,1307.148
19:03:43.0,99.497,1316.531
19:03:44.0,99.5,1311.789
19:03:45.0,98.5,1299.25
19:03:46.0,99.5,1309.441
19:03:47.0,99.0,1295.691
19:03:48.0,99.004,1297.082
19:03:49.0,99.0,1310.324
19:03:50.0,99.0,1301.347
19:03:51.0,100.0,1295.515
19:03:52.0,98.492,1305.261
19:03:53.0,99.004,1306.371
19:03:54.0,99.5,1305.996
19:03:55.0,98.507,1311.367
19:03:56.0,99.497,1291.207
19:03:57.0,98.994,1302.875
19:03:58.0,99.004,1304.96
19:03:59.0,98.994,1283.453
19:04:00.0,99.004,1302.242
19:04:01.0,99.502,1299.839
19:04:02.0,100.0,1300.195
19:04:03.0,99.502,1300.507
19:04:04.0,99.494,1295.253
19:04:05.0,99.504,1299.265
19:04:06.0,98.994,1298.636
19:04:07.0,99.5,1303.003
19:04:08.0,99.004,1292.582
19:04:09.0,99.0,1300.878
19:04:10.0,100.0,1302.734
19:04:11.0,99.5,1295.378
19:04:12.0,99.5,1304.714
19:04:13.0,99.004,1307.562
19:04:14.0,100.0,1291.605
19:04:15.0,99.0,1305.335
19:04:16.0,99.0,1298.839
