Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,998,1209,1212,1422,1457,2029,108,3573,0.000%,16.42690,336.89,6.11
TOTAL,998,1209,1212,1422,1457,2029,108,3573,0.000%,16.42690,336.89,6.11
