Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1027,6068,6024,6808,7423,10109,2984,11215,0.000%,16.22407,332.74,6.04
TOTAL,1027,6068,6024,6808,7423,10109,2984,11215,0.000%,16.22407,332.74,6.04
