Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,990,1840,1829,2100,2135,3551,372,4870,0.000%,16.20215,332.28,6.03
TOTAL,990,1840,1829,2100,2135,3551,372,4870,0.000%,16.20215,332.28,6.03
