Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,994,3693,3607,4080,4640,7876,569,8352,0.000%,16.07322,329.64,5.98
TOTAL,994,3693,3607,4080,4640,7876,569,8352,0.000%,16.07322,329.64,5.98
