Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1023,6086,6029,6688,7036,10276,3228,10640,0.000%,16.18031,331.84,6.02
TOTAL,1023,6086,6029,6688,7036,10276,3228,10640,0.000%,16.18031,331.84,6.02
