Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,757,6493,6071,10255,12143,13640,596,14179,0.000%,12.11433,248.46,4.51
TOTAL,757,6493,6071,10255,12143,13640,596,14179,0.000%,12.11433,248.46,4.51
