Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,769,3984,3759,4160,6235,9981,616,10220,0.000%,12.43150,254.97,4.63
TOTAL,769,3984,3759,4160,6235,9981,616,10220,0.000%,12.43150,254.97,4.63
