Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
20:34:15.0,1.418,1058.304
20:34:16.0,83.417,1065.664
20:34:17.0,97.5,1075.343
20:34:18.0,100.0,1095.203
20:34:19.0,99.5,1127.988
20:34:20.0,99.5,1176.417
20:34:21.0,99.004,1243.878
20:34:22.0,99.0,1321.242
20:34:23.0,100.0,1408.777
20:34:24.0,99.0,1431.699
20:34:25.0,99.502,1481.449
20:34:26.0,100.0,1481.218
20:34:27.0,99.0,1495.382
20:34:28.0,100.0,1547.546
20:34:29.0,99.0,1544.128
20:34:30.0,99.0,1552.406
20:34:31.0,99.5,1547.632
20:34:32.0,99.5,1524.14
20:34:33.0,99.5,1535.32
20:34:34.0,99.0,1536.484
20:34:35.0,100.0,1544.207
20:34:36.0,99.502,1525.097
20:34:37.0,99.5,1517.0
20:34:38.0,98.994,1529.507
20:34:39.0,99.502,1522.148
20:34:41.0,100.0,1521.8
20:34:42.0,99.502,1498.988
20:34:43.0,99.5,1492.218
20:34:44.0,98.994,1506.664
20:34:45.0,99.5,1509.445
20:34:46.0,99.502,1501.054
20:34:47.0,98.994,1486.117
20:34:48.0,98.507,1478.976
20:34:49.0,99.5,1480.054
20:34:50.0,99.0,1480.113
20:34:51.0,99.5,1477.062
20:34:52.0,99.497,1455.816
20:34:53.0,99.5,1468.089
20:34:54.0,99.504,1470.746
20:34:55.0,100.0,1464.789
20:34:56.0,100.0,1470.945
20:34:57.0,99.5,1457.699
20:34:58.0,99.5,1469.343
20:34:59.0,100.0,1478.492
20:35:00.0,99.0,1467.07
20:35:01.0,99.497,1462.992
20:35:02.0,99.502,1460.613
20:35:03.0,100.0,1464.519
20:35:04.0,99.5,1477.843
20:35:05.0,100.0,1474.023
20:35:06.0,100.0,1457.671
20:35:07.0,100.0,1465.16
20:35:08.0,99.0,1472.289
20:35:09.0,99.502,1473.683
20:35:10.0,99.0,1473.89
20:35:11.0,99.5,1463.05
20:35:12.0,100.0,1468.058
20:35:13.0,99.5,1479.609
20:35:14.0,99.502,1475.082
20:35:15.0,99.5,1472.929
20:35:16.0,99.5,1457.316
20:35:17.0,99.497,1447.121
