Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,887,4847,4849,5369,7080,9449,371,10038,0.000%,14.21907,293.53,5.29
TOTAL,887,4847,4849,5369,7080,9449,371,10038,0.000%,14.21907,293.53,5.29
