Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,878,2773,2758,2922,3147,6287,191,8176,0.000%,14.32300,295.68,5.33
TOTAL,878,2773,2758,2922,3147,6287,191,8176,0.000%,14.32300,295.68,5.33
