Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,917,6173,6172,6576,8536,9900,3495,10510,0.000%,14.32298,295.68,5.33
TOTAL,917,6173,6172,6576,8536,9900,3495,10510,0.000%,14.32298,295.68,5.33
