Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,895,3435,3417,3658,4493,7611,226,7922,0.000%,14.42083,297.70,5.37
TOTAL,895,3435,3417,3658,4493,7611,226,7922,0.000%,14.42083,297.70,5.37
