Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,874,2079,2090,2202,2278,3924,503,4543,0.000%,14.32505,295.72,5.33
TOTAL,874,2079,2090,2202,2278,3924,503,4543,0.000%,14.32505,295.72,5.33
