Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,893,6885,6923,8267,9950,11257,2084,11749,0.000%,14.23130,293.79,5.30
TOTAL,893,6885,6923,8267,9950,11257,2084,11749,0.000%,14.23130,293.79,5.30
