Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,872,689,672,864,886,929,156,989,0.000%,14.43948,298.07,5.37
TOTAL,872,689,672,864,886,929,156,989,0.000%,14.43948,298.07,5.37
