Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,770,3160,2993,3265,5414,7846,621,9054,0.000%,12.55073,257.41,4.67
TOTAL,770,3160,2993,3265,5414,7846,621,9054,0.000%,12.55073,257.41,4.67
