Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,793,7025,6726,10404,11896,14193,1142,15347,0.000%,12.59810,258.38,4.69
TOTAL,793,7025,6726,10404,11896,14193,1142,15347,0.000%,12.59810,258.38,4.69
