Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,832,7452,7431,8792,11396,12856,2432,13996,0.000%,13.17060,270.13,4.90
TOTAL,832,7452,7431,8792,11396,12856,2432,13996,0.000%,13.17060,270.13,4.90
