Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
17:47:51.0,1.781,1085.019
17:47:52.0,7.614,1085.859
17:47:53.0,6.5,1086.917
17:47:54.0,86.934,1111.269
17:47:55.0,14.141,1112.523
17:47:56.0,84.422,1190.695
17:47:57.0,99.502,1265.843
17:47:58.0,98.994,1331.46
17:47:59.0,99.504,1386.316
17:48:00.0,99.497,1395.453
17:48:01.0,99.5,1404.972
17:48:02.0,99.5,1414.437
17:48:03.0,98.507,1418.148
17:48:04.0,100.0,1416.554
17:48:05.0,99.004,1415.167
17:48:06.0,99.5,1409.332
17:48:07.0,99.497,1415.05
17:48:08.0,99.004,1412.062
17:48:09.0,99.0,1404.32
17:48:10.0,98.5,1391.183
17:48:11.0,99.502,1396.312
17:48:12.0,99.497,1389.824
17:48:13.0,99.5,1383.984
17:48:14.0,99.004,1378.324
17:48:15.0,99.497,1369.625
17:48:16.0,99.0,1363.339
17:48:17.0,99.0,1354.64
17:48:18.0,100.0,1354.906
17:48:19.0,99.004,1347.847
17:48:20.0,99.497,1338.406
17:48:21.0,99.502,1336.558
17:48:22.0,99.0,1339.039
17:48:23.0,99.497,1336.636
17:48:24.0,99.502,1335.578
17:48:25.0,98.994,1341.742
17:48:26.0,100.0,1338.753
17:48:27.0,99.004,1338.617
17:48:28.0,99.004,1336.078
17:48:29.0,100.0,1342.589
17:48:30.0,100.0,1343.789
17:48:31.0,99.5,1332.238
17:48:32.0,99.0,1340.445
17:48:33.0,99.0,1342.875
17:48:34.0,99.5,1339.914
17:48:35.0,99.0,1339.156
17:48:36.0,99.004,1339.41
17:48:37.0,99.497,1332.898
17:48:38.0,99.0,1330.609
17:48:39.0,99.5,1340.093
17:48:40.0,98.529,1336.789
17:48:41.0,99.489,1333.73
17:48:42.0,99.5,1334.101
17:48:43.0,98.5,1334.839
17:48:44.0,99.5,1337.242
17:48:45.0,100.0,1335.445
17:48:46.0,98.994,1338.351
17:48:47.0,99.5,1343.933
17:48:48.0,99.009,1342.449
17:48:49.0,98.994,1341.261
17:48:50.0,98.994,1344.421
17:48:51.0,99.502,1339.82
