Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,791,2294,2236,2453,2589,4263,622,6572,0.000%,12.97402,266.09,4.83
TOTAL,791,2294,2236,2453,2589,4263,622,6572,0.000%,12.97402,266.09,4.83
