Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,790,1533,1498,1666,1709,3603,380,5083,0.000%,12.95443,265.69,4.82
TOTAL,790,1533,1498,1666,1709,3603,380,5083,0.000%,12.95443,265.69,4.82
