Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
17:41:28.0,5.0,962.57
17:41:29.0,1.086,963.527
17:41:30.0,2.0,965.308
17:41:31.0,39.303,985.964
17:41:32.0,86.082,1067.871
17:41:33.0,97.536,1165.652
17:41:34.0,99.0,1182.476
17:41:35.0,99.0,1185.207
17:41:36.0,99.5,1184.324
17:41:37.0,98.994,1185.253
17:41:38.0,98.5,1189.386
17:41:39.0,98.5,1192.593
17:41:40.0,97.5,1196.167
17:41:41.0,96.019,1195.503
17:41:42.0,97.989,1197.078
17:41:43.0,98.529,1200.523
17:41:44.0,98.461,1196.867
17:41:45.0,99.009,1196.429
17:41:46.0,98.009,1196.136
17:41:47.0,99.0,1196.14
17:41:48.0,98.994,1197.562
17:41:49.0,99.5,1199.363
17:41:50.0,98.492,1200.054
17:41:51.0,98.507,1196.839
17:41:52.0,99.0,1197.882
17:41:53.0,99.0,1197.703
17:41:54.0,99.5,1197.167
17:41:55.0,99.497,1202.117
17:41:56.0,99.0,1200.214
17:41:57.0,99.004,1199.332
17:41:58.0,99.5,1199.089
17:41:59.0,99.5,1201.601
17:42:00.0,99.5,1202.585
17:42:01.0,99.5,1203.882
17:42:02.0,99.0,1203.132
17:42:03.0,99.5,1203.445
17:42:04.0,100.0,1203.933
17:42:05.0,99.004,1204.589
17:42:06.0,99.0,1201.804
17:42:07.0,100.0,1202.636
17:42:08.0,99.004,1207.562
17:42:09.0,100.0,1204.394
17:42:10.0,99.004,1205.484
17:42:11.0,99.5,1204.566
17:42:12.0,99.0,1203.71
17:42:13.0,99.5,1205.609
17:42:14.0,98.5,1204.476
17:42:15.0,98.994,1205.41
17:42:16.0,99.004,1204.398
17:42:17.0,98.0,1206.839
17:42:18.0,98.507,1206.378
17:42:19.0,99.5,1206.457
17:42:20.0,99.497,1205.55
17:42:21.0,99.502,1206.464
17:42:22.0,99.497,1206.597
17:42:23.0,99.0,1206.304
17:42:24.0,100.0,1205.902
17:42:25.0,99.0,1205.781
17:42:26.0,99.004,1205.964
