Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,790,6259,5938,9550,10621,13349,944,14049,0.000%,12.56022,257.61,4.67
TOTAL,790,6259,5938,9550,10621,13349,944,14049,0.000%,12.56022,257.61,4.67
