Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,776,3926,3698,4098,6140,9754,633,10292,0.000%,12.61173,258.66,4.69
TOTAL,776,3926,3698,4098,6140,9754,633,10292,0.000%,12.61173,258.66,4.69
