Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,795,4646,4454,4942,6781,10773,922,11534,0.000%,12.75940,261.69,4.75
TOTAL,795,4646,4454,4942,6781,10773,922,11534,0.000%,12.75940,261.69,4.75
