Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,895,6229,6200,7120,10777,12473,185,12932,0.000%,14.20364,293.21,5.28
TOTAL,895,6229,6200,7120,10777,12473,185,12932,0.000%,14.20364,293.21,5.28
