Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,891,4855,4855,5351,6513,10613,226,11261,0.000%,14.18609,292.85,5.28
TOTAL,891,4855,4855,5351,6513,10613,226,11261,0.000%,14.18609,292.85,5.28
