Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,891,4144,4136,4367,5504,8301,267,8589,0.000%,14.31164,295.44,5.32
TOTAL,891,4144,4136,4367,5504,8301,267,8589,0.000%,14.31164,295.44,5.32
