Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,870,694,683,866,900,934,135,1003,0.000%,14.36877,296.61,5.35
TOTAL,870,694,683,866,900,934,135,1003,0.000%,14.36877,296.61,5.35
