Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,898,1348,1338,1516,1555,1838,150,3721,0.000%,14.76439,304.78,5.49
TOTAL,898,1348,1338,1516,1555,1838,150,3721,0.000%,14.76439,304.78,5.49
