Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
16:25:17.0,1.073,1094.683
16:25:18.0,23.383,1095.171
16:25:19.0,25.628,1109.523
16:25:20.0,99.0,1142.906
16:25:21.0,99.5,1176.335
16:25:22.0,99.5,1181.386
16:25:23.0,99.004,1186.664
16:25:24.0,100.0,1193.105
16:25:25.0,98.0,1193.093
16:25:26.0,98.994,1190.23
16:25:27.0,99.502,1196.109
16:25:28.0,99.5,1192.613
16:25:29.0,99.0,1191.304
16:25:30.0,99.5,1200.32
16:25:31.0,98.994,1199.339
16:25:32.0,98.507,1197.656
16:25:33.0,99.497,1201.453
16:25:34.0,99.502,1201.546
16:25:35.0,99.0,1198.839
16:25:36.0,99.0,1203.062
16:25:37.0,100.0,1199.253
16:25:38.0,98.009,1199.195
16:25:39.0,99.0,1198.527
16:25:40.0,99.0,1204.257
16:25:41.0,99.497,1200.496
16:25:42.0,99.0,1203.281
16:25:43.0,99.0,1198.558
16:25:44.0,99.0,1201.753
16:25:45.0,99.004,1205.453
16:25:46.0,99.0,1205.523
16:25:47.0,99.0,1204.48
16:25:48.0,99.0,1205.199
16:25:49.0,99.5,1209.031
16:25:50.0,99.502,1211.113
16:25:51.0,100.0,1207.66
16:25:52.0,99.5,1210.781
16:25:53.0,99.5,1211.863
16:25:54.0,99.5,1204.316
16:25:55.0,99.5,1206.726
16:25:56.0,99.004,1205.765
16:25:57.0,99.494,1202.917
16:25:58.0,99.5,1207.402
16:25:59.0,99.504,1206.472
16:26:00.0,99.0,1205.687
16:26:01.0,99.5,1205.261
16:26:02.0,99.497,1208.203
16:26:03.0,99.5,1205.855
16:26:04.0,99.5,1208.082
16:26:05.0,98.009,1205.214
16:26:06.0,99.497,1208.464
16:26:07.0,99.004,1206.417
16:26:08.0,99.5,1205.066
16:26:09.0,98.994,1206.48
16:26:10.0,99.5,1207.027
16:26:11.0,98.5,1209.039
16:26:12.0,98.5,1206.171
16:26:13.0,99.502,1206.988
16:26:14.0,99.5,1211.156
16:26:15.0,99.0,1203.578
16:26:16.0,99.497,1211.613
16:31:04.0,0.713,1065.046
16:31:05.0,0.0,1065.402
16:31:06.0,0.502,1066.343
16:31:07.0,89.447,1092.972
16:31:08.0,92.964,1113.035
16:31:09.0,88.557,1214.117
16:31:10.0,100.0,1224.667
16:31:11.0,99.0,1223.878
16:31:12.0,99.5,1250.64
16:31:13.0,98.507,1243.156
16:31:14.0,100.0,1257.453
16:31:15.0,99.5,1246.257
16:31:16.0,99.5,1253.207
16:31:17.0,98.0,1251.847
16:31:18.0,99.502,1258.164
16:31:19.0,99.5,1252.796
16:31:20.0,99.0,1254.585
16:31:21.0,99.5,1259.902
16:31:22.0,99.0,1248.332
16:31:23.0,99.502,1261.98
16:31:24.0,100.0,1246.617
16:31:25.0,99.5,1253.339
16:31:26.0,98.5,1255.875
16:31:27.0,99.5,1259.953
16:31:28.0,99.497,1257.14
16:31:29.0,99.5,1259.011
16:31:30.0,99.004,1254.851
16:31:31.0,99.0,1256.394
16:31:32.0,99.5,1255.035
16:31:33.0,99.5,1256.476
16:31:34.0,99.5,1262.402
16:31:35.0,99.5,1252.371
16:31:36.0,99.5,1262.039
16:31:37.0,98.5,1254.027
16:31:38.0,99.0,1259.402
16:31:39.0,100.0,1257.847
16:31:40.0,99.5,1259.437
16:31:41.0,98.492,1262.179
16:31:42.0,98.507,1259.019
16:31:43.0,99.497,1260.609
16:31:44.0,99.5,1254.812
16:31:45.0,98.507,1254.421
16:31:46.0,99.5,1252.523
16:31:47.0,99.497,1256.238
16:31:48.0,99.004,1252.226
16:31:49.0,99.497,1254.742
16:31:50.0,98.507,1253.792
16:31:51.0,99.5,1256.914
16:31:52.0,99.5,1256.25
16:31:53.0,99.0,1253.765
16:31:54.0,100.0,1253.195
16:31:55.0,99.502,1259.472
16:31:56.0,99.0,1256.14
16:31:57.0,99.497,1256.507
16:31:58.0,99.502,1257.992
16:31:59.0,100.0,1257.285
16:32:00.0,99.004,1256.824
16:32:01.0,99.0,1256.183
16:32:02.0,100.0,1261.722
16:32:03.0,100.0,1254.457
