Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,780,3911,3722,4149,6130,9416,608,9545,0.000%,12.60382,258.50,4.69
TOTAL,780,3911,3722,4149,6130,9416,608,9545,0.000%,12.60382,258.50,4.69
