Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,754,8223,7571,13692,15438,16409,612,17380,0.000%,11.89631,243.99,4.43
TOTAL,754,8223,7571,13692,15438,16409,612,17380,0.000%,11.89631,243.99,4.43
